cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_bvc_encoder_base,business_base,15.94175471,20411091.95,7,616,4,3532186,1651,15218,1728,4515,1649,1261568,255116,228358,26758,3532186,255116,True,True,True,0,0,0,0,0,0,0,0,1186,0,1176867,1.0,0.023423638516613426,1.8275879318113193,1.7857627804285172,0.0234214487171502,0.0234214487171502,1.4274081262991247,1.3947390399260293,0.023423081621654487,0.023423081621654487,27031,27067,-0.001330032881368456,0.001330032881368456,26755,26871,-0.004316921588329426,0.004316921588329426,26755,26871,-0.004316921588329426,0.004316921588329426,860,852,0.009389671361502348,0.009389671361502348,25630,25630,0.0,0.0,25630,26829,-0.04469044690446904,0.04469044690446904
4,W_v28_bvc_encoder_heldout,heldout,16.10996237,20929028.41,7,553,11,3307714,1553,14024,1616,5153,1548,1132544,236042,212224,23818,3307714,236042,True,True,True,0,0,0,0,0,0,0,0,1019,0,987209,1.0,0.024672163282605287,1.776880846223697,1.7340999960724246,0.02467034787392132,0.02467034787392132,1.367740681328555,1.3348082600329227,0.024672023901635184,0.024672023901635184,23942,23968,-0.0010847797062750334,0.0010847797062750334,23815,23921,-0.004431252874043727,0.004431252874043727,23815,23921,-0.004431252874043727,0.004431252874043727,5365,5351,0.002616333395626986,0.002616333395626986,23247,23247,0.0,0.0,23247,23902,-0.02740356455526734,0.02740356455526734
4,W_v28_cache_L1_mixed,mechanism,26.93426845,34152329.61,8,274,5,3411116,1039,13324,1668,505,532,561152,67632,66566,1066,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,292,0,24,1.0,0.02259915904501792,0.8323316655391089,0.8139404176356185,0.022595324553256985,0.022595324553256985,0.6564191894969271,0.6419138252142907,0.022597058534755875,0.022597058534755875,1047,1056,-0.008522727272727272,0.008522727272727272,1047,1088,-0.03768382352941176,0.03768382352941176,1047,1088,-0.03768382352941176,0.03768382352941176,1140,1168,-0.023972602739726026,0.023972602739726026,1034,1034,0.0,0.0,1034,1083,-0.04524469067405355,0.04524469067405355
4,W_v28_cache_L2_mixed,mechanism,23.65103418,29989227.89,32,490,40,3411116,1355,12692,1668,244,1350,1003520,67632,59286,8346,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,292,0,24,1.0,0.07834040072826272,1.4177081087510872,1.3146500324140433,0.07839202357740953,0.07839202357740953,1.1180768991731738,1.0367982874918247,0.07839385217154883,0.07839385217154883,65566,65577,-0.00016774173871936807,0.00016774173871936807,8215,8261,-0.005568333131582133,0.005568333131582133,8215,8261,-0.005568333131582133,0.005568333131582133,1140,1168,-0.023972602739726026,0.023972602739726026,8202,8202,0.0,0.0,8202,8254,-0.006299975769323964,0.006299975769323964
4,W_v28_coh_readmostly_sparse,mechanism,23.50763098,30493292.71,11,236,0,3146924,944,13667,1540,1810,940,483328,66608,58386,8222,3146924,66608,True,True,True,0,0,0,0,0,0,0,0,316,0,42,1.0,0.07235824989422801,0.7939765045342126,0.8559100284747149,-0.07235985311548648,0.07235985311548648,0.6120856429961448,0.6598297714132277,-0.07235825130294483,0.07235825130294483,65570,65578,-0.00012199213150751776,0.00012199213150751776,8219,8257,-0.004602155746639215,0.004602155746639215,8219,8257,-0.004602155746639215,0.004602155746639215,1140,1168,-0.023972602739726026,0.023972602739726026,2062,2062,0.0,0.0,2062,5099,-0.5956069817611296,0.5956069817611296
4,W_v28_flink_base,business_base,16.62943462,20971884.19,6,932,51,3474694,2083,11261,1700,2409,2056,1908736,221009,176672,44337,3474694,221009,True,True,True,0,0,0,0,0,0,0,0,803,0,226,1.0,0.0677905917216785,2.7623759537343995,2.587007128977067,0.06778830363203339,0.06778830363203339,2.1903969097710476,2.0513365844392992,0.06779010640506777,0.06779010640506777,52620,52642,-0.000417917252384028,0.000417917252384028,40362,40461,-0.0024468006228219766,0.0024468006228219766,40362,40461,-0.0024468006228219766,0.0024468006228219766,1758,1753,0.002852253280091272,0.002852253280091272,38233,38232,2.6156099602427287e-05,2.6156099602427287e-05,38233,40365,-0.05281803542673108,0.05281803542673108
4,W_v28_flink_heldout,heldout,15.97534564,20979166.72,9,912,84,3213273,1708,12342,1572,2855,1703,1867776,193362,146942,46420,3213273,193362,True,True,True,0,0,0,0,0,0,0,0,828,0,216,1.0,0.07176117404035923,3.0513261265546947,2.8470269220945084,0.07175878909844904,0.07175878909844904,2.3235426930733865,2.167968134879659,0.0717605372933044,0.0717605372933044,48105,48131,-0.0005401923915979306,0.0005401923915979306,39712,39809,-0.0024366349317993417,0.0024366349317993417,39712,39809,-0.0024366349317993417,0.0024366349317993417,5069,5069,0.0,0.0,38768,38768,0.0,0.0,38768,39768,-0.025145845906256285,0.025145845906256285
4,W_v28_fp_alu_dense,mechanism,25.80029146,32837886.72,83,61,0,3440944,244,57344,1684,0,4,124928,68,42,26,3440944,68,True,True,True,0,0,0,0,0,0,0,0,48,0,1,1.0,0.003899460866580064,0.18254420929282886,0.18325913366149857,-0.003901166366912232,0.003901166366912232,0.14342256078564486,0.14398402773640534,-0.0038995085745786363,0.0038995085745786363,23,31,-0.25806451612903225,0.25806451612903225,23,54,-0.5740740740740741,0.5740740740740741,23,54,-0.5740740740740741,0.5740740740740741,64,60,0.06666666666666667,0.06666666666666667,7,7,0.0,0.0,7,52,-0.8653846153846154,0.8653846153846154
4,W_v28_gofeed_base,business_base,17.12573585,21487174.34,9,1031,128,3272580,1686,12922,1600,5245,1685,2111488,198240,164295,33945,3272580,198240,True,True,True,0,0,0,0,0,0,0,0,859,0,4717,1.0,0.1033486554536207,3.2374547409132943,2.9342149453596327,0.10334614239261024,0.10334614239261024,2.5803204199744543,2.3386275931590803,0.10334814637540853,0.10334814637540853,49620,49644,-0.00048344210780759005,0.00048344210780759005,33942,34036,-0.002761781642966271,0.002761781642966271,33942,34036,-0.002761781642966271,0.002761781642966271,5901,5896,0.0008480325644504749,0.0008480325644504749,31005,30398,0.01996841897493256,0.01996841897493256,31005,33888,-0.0850743626062323,0.0850743626062323
4,W_v28_gofeed_heldout,heldout,17.04936145,21886274.78,7,1066,105,3204856,1843,11521,1568,4669,1838,2183168,168968,130255,38713,3204856,168968,True,True,True,0,0,0,0,0,0,0,0,674,0,3739,1.0,0.07904440552282763,3.493011628726704,3.2371412503785164,0.07904208020526413,0.07904208020526413,2.7210486212173026,2.5217217384629738,0.07904396417497733,0.07904396417497733,47048,47072,-0.0005098572399728076,0.0005098572399728076,38542,38659,-0.0030264621433560104,0.0030264621433560104,38542,38659,-0.0030264621433560104,0.0030264621433560104,5636,5635,0.0001774622892635315,0.0001774622892635315,37139,36293,0.02331028021932604,0.02331028021932604,37139,38589,-0.037575474876260076,0.037575474876260076
4,W_v28_int_alu_dense,mechanism,26.84913654,31795106.37,195,331,0,3686532,1324,11208,1804,0,4,677888,20,2,18,3686532,20,True,True,True,0,0,0,0,0,0,0,0,16,0,1,1.0,0.0010865985198824006,0.8686506284483712,0.8695971444320666,-0.0010884534174886334,0.0010884534174886334,0.7335254379997244,0.7343233638577826,-0.0010866137417531543,0.0010866137417531543,15,42,-0.6428571428571429,0.6428571428571429,15,73,-0.7945205479452054,0.7945205479452054,15,73,-0.7945205479452054,0.7945205479452054,56,64,-0.125,0.125,5,5,0.0,0.0,5,68,-0.9264705882352942,0.9264705882352942
4,W_v28_int_div_serial,mechanism,6.900552673,32549348.02,5,434,0,3709970,1733,9046,1812,726,672,888832,65560,65538,22,3709970,65560,True,True,True,0,0,0,0,0,0,0,0,161,0,1,1.0,0.16115949387545134,4.5057429906779705,3.880342412807551,0.16117149244515314,0.16117149244515314,0.9552300962002388,0.8226513217956594,0.16116034933875795,0.16116034933875795,19,28,-0.32142857142857145,0.32142857142857145,19,56,-0.6607142857142857,0.6607142857142857,19,56,-0.6607142857142857,0.6607142857142857,49452,49452,0.0,0.0,9,9,0.0,0.0,9,52,-0.8269230769230769,0.8269230769230769
