cores,workload,domain,fastsim_mips,fastsim_uops_per_second,frontier_waits,interval_steps,interval_zero_progress_steps,interval_accepted_uops,interval_active_prefixes,max_interval_accepted_uops,epoch_lookahead_chunks,epoch_inflight_memory_uops,epoch_corrected_horizon_violations,epoch_advanced_cycles,batch_memory_events,interval_private_memory_events,interval_escape_memory_events,retired_uops,memory_accesses,uop_conservation_ok,memory_event_conservation_ok,memory_partition_ok,private_preview_epochs,private_preview_events,materialized_escape_events,state_certificate_failures,timing_certificate_failures,timing_reweave_passes,replayed_shared_events,canonical_fallback_epochs,max_batch_memory_events,reordered_memory_event_pairs,same_line_reordered_pairs,branch_outcome_coverage,per_core_uop_cpi_mape,per_core_dtlb_access_mape,per_core_dtlb_miss_mape,macro_cpi_fastsim,macro_cpi_gem5,macro_cpi_signed_error,macro_cpi_absolute_error,uop_cpi_fastsim,uop_cpi_gem5,uop_cpi_signed_error,uop_cpi_absolute_error,l1d_miss_fastsim,l1d_miss_gem5,l1d_miss_signed_error,l1d_miss_absolute_error,private_l2_miss_fastsim,private_l2_miss_gem5,private_l2_miss_signed_error,private_l2_miss_absolute_error,cha_llc_lookup_fastsim,cha_llc_lookup_gem5,cha_llc_lookup_signed_error,cha_llc_lookup_absolute_error,branch_miss_fastsim,branch_miss_gem5,branch_miss_signed_error,branch_miss_absolute_error,dtlb_access_fastsim,dtlb_access_gem5,dtlb_access_signed_error,dtlb_access_absolute_error,dtlb_miss_fastsim,dtlb_miss_gem5,dtlb_miss_signed_error,dtlb_miss_absolute_error,llc_tag_vs_functional_path_fastsim,llc_tag_vs_functional_path_gem5,llc_tag_vs_functional_path_signed_error,llc_tag_vs_functional_path_absolute_error,llc_tag_vs_ruby_demand_miss_fastsim,llc_tag_vs_ruby_demand_miss_gem5,llc_tag_vs_ruby_demand_miss_signed_error,llc_tag_vs_ruby_demand_miss_absolute_error
4,W_v28_bvc_encoder_base,business_base,15.3455532,19647742.86,9,668,1,3532186,1733,11996,1728,3972,1716,1368064,255116,228358,26758,3532186,255116,True,True,True,0,0,0,0,0,0,0,0,951,0,1023360,1.0,0.1067957828964165,0.00986162266702895,0.0004868019564625821,1.9764712876125008,1.7857627804285172,0.10679386381780259,0.10679386381780259,1.543691074026113,1.3947390399260293,0.1067956297458938,0.1067956297458938,27031,27067,-0.001330032881368456,0.001330032881368456,26755,26871,-0.004316921588329426,0.004316921588329426,26755,26871,-0.004316921588329426,0.004316921588329426,860,852,0.009389671361502348,0.009389671361502348,255116,257657,-0.009861948249028748,0.009861948249028748,26694,26707,-0.00048676376979818025,0.00048676376979818025,25630,25630,0.0,0.0,25630,26829,-0.04469044690446904,0.04469044690446904
4,W_v28_bvc_encoder_heldout,heldout,15.18919007,19732820.17,7,599,24,3307714,1535,12101,1616,3915,1519,1226752,236042,212224,23818,3307714,236042,True,True,True,0,0,0,0,0,0,0,0,872,0,882965,1.0,0.1096455000877237,0.07544621875824697,0.0002941460908379365,1.9242316055061726,1.7340999960724246,0.10964281752169909,0.10964281752169909,1.4811628212112655,1.3348082600329227,0.10964463253676072,0.10964463253676072,23942,23968,-0.0010847797062750334,0.0010847797062750334,23815,23921,-0.004431252874043727,0.004431252874043727,23815,23921,-0.004431252874043727,0.004431252874043727,5365,5351,0.002616333395626986,0.002616333395626986,236042,255305,-0.07545093123910616,0.07545093123910616,23784,23791,-0.00029422891009205164,0.00029422891009205164,23247,23247,0.0,0.0,23247,23902,-0.02740356455526734,0.02740356455526734
4,W_v28_cache_L1_mixed,mechanism,25.90795629,32850978.08,11,275,6,3411116,1043,13324,1668,253,284,563200,67632,66566,1066,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,268,0,24,1.0,0.022875293116457432,0.0017416895869874275,0.07777777777777778,0.8325561858314313,0.8139404176356185,0.02287116819912808,0.02287116819912808,0.6565962576470574,0.6419138252142907,0.022872902648365966,0.022872902648365966,1047,1056,-0.008522727272727272,0.008522727272727272,1047,1088,-0.03768382352941176,0.03768382352941176,1047,1088,-0.03768382352941176,0.03768382352941176,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,35,38,-0.07894736842105263,0.07894736842105263,1034,1034,0.0,0.0,1034,1083,-0.04524469067405355,0.04524469067405355
4,W_v28_cache_L2_mixed,mechanism,21.03153298,26667731.78,39,490,32,3411116,1391,11272,1668,248,1388,1003520,67632,59286,8346,3411116,67632,True,True,True,0,0,0,0,0,0,0,0,236,0,24,1.0,0.08263352212789354,0.0017416895869874275,0.01991465149359886,1.4233419325100922,1.3146500324140433,0.08267744069991158,0.08267744069991158,1.122520019841014,1.0367982874918247,0.08267927656069278,0.08267927656069278,65566,65577,-0.00016774173871936807,0.00016774173871936807,8215,8261,-0.005568333131582133,0.005568333131582133,8215,8261,-0.005568333131582133,0.005568333131582133,1140,1168,-0.023972602739726026,0.023972602739726026,67632,67750,-0.0017416974169741698,0.0017416974169741698,147,150,-0.02,0.02,8202,8202,0.0,0.0,8202,8254,-0.006299975769323964,0.006299975769323964
4,W_v28_coh_readmostly_sparse,mechanism,21.43971656,27810865.04,19,236,0,3146924,944,13762,1540,1803,940,483328,66608,58386,8222,3146924,66608,True,True,True,0,0,0,0,0,0,0,0,300,0,40,1.0,0.07244012292782459,0.0010198554223283184,0.0,0.7939064303380049,0.8559100284747149,-0.07244172409944098,0.07244172409944098,0.6120316219902355,0.6598297714132277,-0.07244012242827089,0.07244012242827089,65570,65578,-0.00012199213150751776,0.00012199213150751776,8219,8257,-0.004602155746639215,0.004602155746639215,8219,8257,-0.004602155746639215,0.004602155746639215,1140,1168,-0.023972602739726026,0.023972602739726026,66608,66676,-0.0010198572199892014,0.0010198572199892014,147,147,0.0,0.0,2062,2062,0.0,0.0,2062,5099,-0.5956069817611296,0.5956069817611296
4,W_v28_flink_base,business_base,15.51663273,19568495.98,8,1013,20,3474694,2588,8200,1700,2309,2559,2074624,221009,176672,44337,3474694,221009,True,True,True,0,0,0,0,0,0,0,0,605,0,201,1.0,0.16125633049609636,0.03941041451073006,0.00017364073402736702,3.00417244055107,2.587007128977067,0.16125402473821357,0.16125402473821357,2.3821268865690044,2.0513365844392992,0.16125598531170424,0.16125598531170424,52620,52642,-0.000417917252384028,0.000417917252384028,40362,40461,-0.0024468006228219766,0.0024468006228219766,40362,40461,-0.0024468006228219766,0.0024468006228219766,1758,1753,0.002852253280091272,0.002852253280091272,221009,230077,-0.03941289220565289,0.03941289220565289,40308,40315,-0.00017363264293687212,0.00017363264293687212,38233,38232,2.6156099602427287e-05,2.6156099602427287e-05,38233,40365,-0.05281803542673108,0.05281803542673108
4,W_v28_flink_heldout,heldout,14.69361918,19295976.02,10,1002,37,3213273,2407,8871,1572,3000,2390,2052096,193362,146942,46420,3213273,193362,True,True,True,0,0,0,0,0,0,0,0,558,0,198,1.0,0.17713441497650956,0.08270705143479201,0.00014762821356508157,3.351325758736799,2.8470269220945084,0.17713174144180083,0.17713174144180083,2.551988268659401,2.167968134879659,0.17713366151530563,0.17713366151530563,48105,48131,-0.0005401923915979306,0.0005401923915979306,39712,39809,-0.0024366349317993417,0.0024366349317993417,39712,39809,-0.0024366349317993417,0.0024366349317993417,5069,5069,0.0,0.0,193362,210798,-0.08271425725101757,0.08271425725101757,40637,40643,-0.0001476268976207465,0.0001476268976207465,38768,38768,0.0,0.0,38768,39768,-0.025145845906256285,0.025145845906256285
4,W_v28_fp_alu_dense,mechanism,25.96034257,33041595.27,20,61,0,3440944,244,57344,1684,0,4,124928,68,42,26,3440944,68,True,True,True,0,0,0,0,0,0,0,0,48,0,1,1.0,0.003100172915975474,0.6083563064018285,0.1875,0.18269068586545462,0.18325913366149857,-0.0031018797518378724,0.0031018797518378724,0.14353764548333248,0.14398402773640534,-0.0031002206292635804,0.0031002206292635804,23,31,-0.25806451612903225,0.25806451612903225,23,54,-0.5740740740740741,0.5740740740740741,23,54,-0.5740740740740741,0.5740740740740741,64,60,0.06666666666666667,0.06666666666666667,68,174,-0.6091954022988506,0.6091954022988506,12,15,-0.2,0.2,7,7,0.0,0.0,7,52,-0.8653846153846154,0.8653846153846154
4,W_v28_gofeed_base,business_base,15.86398466,19904090.96,9,1132,60,3272580,2440,9464,1600,5647,2424,2318336,198240,164295,33945,3272580,198240,True,True,True,0,0,0,0,0,0,0,0,648,0,199,1.0,0.21160720129983562,0.12167515862662107,0.0002156472808304412,3.555107970046574,2.9342149453596327,0.21160447896595444,0.21160447896595444,2.8334968129121365,2.3386275931590803,0.21160667957593612,0.21160667957593612,49620,49644,-0.00048344210780759005,0.00048344210780759005,33942,34036,-0.002761781642966271,0.002761781642966271,33942,34036,-0.002761781642966271,0.002761781642966271,5901,5896,0.0008480325644504749,0.0008480325644504749,198240,225706,-0.12168927720131499,0.12168927720131499,32446,32453,-0.00021569654577388838,0.00021569654577388838,31005,30398,0.01996841897493256,0.01996841897493256,31005,33888,-0.0850743626062323,0.0850743626062323
4,W_v28_gofeed_heldout,heldout,16.0670337,20625260.1,5,1177,43,3204856,2632,8104,1568,4602,2606,2410496,168968,130255,38713,3204856,168968,True,True,True,0,0,0,0,0,0,0,0,471,0,157,1.0,0.19275853888393923,0.09584871246148667,0.00028973708403253465,3.8611197896639236,3.2371412503785164,0.19275604338007982,0.19275604338007982,3.007804094786162,2.5217217384629738,0.19275812589039373,0.19275812589039373,47048,47072,-0.0005098572399728076,0.0005098572399728076,38542,38659,-0.0030264621433560104,0.0030264621433560104,38542,38659,-0.0030264621433560104,0.0030264621433560104,5636,5635,0.0001774622892635315,0.0001774622892635315,168968,186881,-0.09585244085808617,0.09585244085808617,31056,31065,-0.0002897151134717528,0.0002897151134717528,37139,36293,0.02331028021932604,0.02331028021932604,37139,38589,-0.037575474876260076,0.037575474876260076
4,W_v28_int_alu_dense,mechanism,29.67117117,35136997.5,35,331,0,3686532,1324,11189,1804,0,4,677888,20,2,18,3686532,20,True,True,True,0,0,0,0,0,0,0,0,16,0,1,1.0,0.0010334051943457307,0.8214285714285714,0.5750000000000001,0.8686968851266791,0.8695971444320666,-0.0010352601904821874,0.0010352601904821874,0.7335644991010521,0.7343233638577826,-0.0010334204167817438,0.0010334204167817438,15,42,-0.6428571428571429,0.6428571428571429,15,73,-0.7945205479452054,0.7945205479452054,15,73,-0.7945205479452054,0.7945205479452054,56,64,-0.125,0.125,20,112,-0.8214285714285714,0.8214285714285714,8,19,-0.5789473684210527,0.5789473684210527,5,5,0.0,0.0,5,68,-0.9264705882352942,0.9264705882352942
4,W_v28_int_div_serial,mechanism,6.065212392,28609115.57,52,458,0,3709970,1829,8609,1812,689,631,937984,65560,65538,22,3709970,65560,True,True,True,0,0,0,0,0,0,0,0,154,0,1,1.0,0.22601209012792828,0.5012815464889995,0.702724358974359,4.757397104220596,3.880342412807551,0.22602507668349503,0.22602507668349503,1.0085814710091996,0.8226513217956594,0.2260133112139142,0.2260133112139142,19,28,-0.32142857142857145,0.32142857142857145,19,56,-0.6607142857142857,0.6607142857142857,19,56,-0.6607142857142857,0.6607142857142857,49452,49452,0.0,0.0,65560,131459,-0.5012893753946097,0.5012893753946097,11,39,-0.717948717948718,0.717948717948718,9,9,0.0,0.0,9,52,-0.8269230769230769,0.8269230769230769
